CLAVE,NOMBRE DEL PRODUCTO,TIPO DE PIEL,PRESENTACIÓN,PRECIO,DESCRIPCIÓN,CATEGORÍA
FN014,W&A,Todo tipo de piel,5 ampolletas (2ml c/u),$479,Solución concentrada de vitamina C con ácido hialurónico,INDÓMITO - FÉNIX • By ASPIDPRO
SEN01,LOCIÓN HIDRATANTE PIEL SENSIBLE,Todo tipo de piel,120 mL,$499,Loción hidratante con provitaminas B5 y centella asiática,SENSE
SEN02,SHAMPOO DERMOLIMPIADOR PIEL SENSIBLE,Todo tipo de piel,120 mL,$519,Shampoo dermolimpiador con centella asiática y caléndula,SENSE
SEN03,MASCARILLA REEQUILIBRANTE PIEL SENSIBLE,Todo tipo de piel,50 g,$579,Mascarilla reequilibrante con probióticos y centella asiática,SENSE
SEN06,MASCARILLA TENSOTONIFICANTE,Todo tipo de piel,10 aplicaciones (30 g c/u),"$1,019",Mascarilla tensotonificante dual (facial y corporal),SENSE
SEN04,SUPREME CLEANSING,Todo tipo de piel,50 g,$559,Bálsamo limpiador facial efecto dual que facilita el arrastre de impurezas,SENSE
HEN01,TSUKI,Todo tipo de piel,5 ampolletas (2ml c/u),$499,Ampolleta PHA Glow shot. Exfoliación química de última generación con potencial seborregulador y tolerancia cutánea,Henko
HEN02,MITE,Todo tipo de piel,15 g,$449,"Contorno de ojos. Con triple acción: despigmentante, antioxidante y efecto botox-like",Henko
HEN03,MIZU,Todo tipo de piel,15 mL,$99,Mascarilla hidratante Aqua-Biome • Hidratación intensa y osmoprotección,Henko
HEN04,HOSHI,Todo tipo de piel,15 mL,$99,Mascarilla BHA/PHA • Exfoliación y limpieza,Henko
HEN05,DARIN,Todo tipo de piel,15 mL,$99,Mascarilla Antioxidante A-OX • Potencial coadyuvante de tratamientos despigmentantes,Henko
HEN06,SUNA,Todo tipo de piel,500 g,$589,"Body scrub. Exfoliante hidratante corporal con aloe vera, BIO-exfoliantes y AHA",Henko
KOR01,Mayu,Todo tipo de piel,220 g,$619,Envoltura corporal humectante con aceite de semilla de uva,Koro
KOR02,V-TENSE MASK,Todo tipo de piel,10 mL / 150 g,$799,Mascarilla facial con efecto push-up,Koro
KOR04,DETOXY MASK,Todo tipo de piel,50 g,$419,"Mascarilla facial purificante, con AHA y ácido salicílico",Koro
KOR05,DAILY CREAM,Todo tipo de piel,200 g,$169,"Crema corporal humectante, reparación intensiva",Koro
DV001,Bakuchiol Tense,Todo tipo de piel,75 g,$549,Mascarilla de arcilla hidro-tensora,DEVOCIÓN
DV002,Bakuchiol Boost,Todo tipo de piel,45 g,$449,Gel reafirmante facial,DEVOCIÓN
DV003,Bi Bakuchiol Bifase,Todo tipo de piel,5 ampolletas (2ml c/u),$429,Phyto retinol – Ácido hialurónico X8,DEVOCIÓN
DV004,AH8 Astaxantina,Todo tipo de piel,50 g,$499,Cremagel antioxidante,DEVOCIÓN
DV005,Nebbia,Todo tipo de piel,100 g,$349,Loción exfoliante en gel,DEVOCIÓN
AI021,Porcelaine Mineral,Todo tipo de piel,45 g,$499,Protector solar 100% mineral,PORCELAINE
AI022,Porcelaine Powder,Todo tipo de piel,8 g,$259,Polvo fotoprotector mineral,PORCELAINE
AI023,Porcelaine Stick,Piel normal y Piel seca / Alípica,12 g,$259,Fotoprotector invisible en barra,PORCELAINE
